source_id,source_tier,source_type,organization_or_author,title,published_at,accessed_at_kst,url,local_evidence_path,locator,market,journey_stage,claim_ids,evidence_summary,fact_or_interpretation,reliability,limitations,status,rejection_reason
C-SRC-0500,A,감독기관 보도자료,금융위원회 디지털금융총괄과,정부와 금융권이 함께 금융권 AX를 가속화해 나가겠습니다 (금융분야 인공지능 가이드라인 개정),2026-06-18,2026-07-16 04:05,https://www.fsc.go.kr/no010101/87142,docs/research/evidence/ws5_규제_소비자보호.md,"본문 및 첨부 [별첨2-1] 요약·[별첨2-2] 가이드라인 전문 PDF",공통,공통,"C-CLM-0506,C-CLM-0507","개정 금융분야 AI 가이드라인 2026-06-22 시행. 7대 원칙(거버넌스·합법성·보조수단성·신뢰성·금융안정성·신의성실·보안성). 'AI는 업무의 보조수단, 최종 의사결정과 책임은 임직원', '금융소비자의 이익 최우선' 명시. 링크 유효 확인(계획서 WS0 검증 과업)",F,H,"자율규제 성격이므로 법상 인허가·행위규제를 대체하지 않음. 첨부 PDF 전문은 미정독(보도자료 본문 기준)",채택,
C-SRC-0501,A,법령 원문,국가법령정보센터,자본시장과 금융투자업에 관한 법률 제9조,"시행 2026-03-17 (법률 제21061호, 2025-09-16 일부개정)",2026-07-16 04:07,https://www.law.go.kr/법령/자본시장과금융투자업에관한법률/제9조,docs/research/evidence/ws5_규제_소비자보호.md,제9조 제4항(투자권유 정의)·제5항(전문투자자)·제6항(일반투자자),국내,공통,"C-CLM-0500,C-CLM-0511","투자권유란 '특정 투자자를 상대로' 금융투자상품의 매매 또는 자문·일임·신탁계약 체결을 권유하는 것. 브라우저 렌더링으로 원문 직접 확인",F,H,,채택,
C-SRC-0502,A,법령 원문,국가법령정보센터,자본시장과 금융투자업에 관한 법률 제6조,"시행 2026-03-17 (법률 제21061호)",2026-07-16 04:08,https://www.law.go.kr/법령/자본시장과금융투자업에관한법률/제6조,docs/research/evidence/ws5_규제_소비자보호.md,제6조 제1항~제3항(금융투자업·투자매매업·투자중개업)·제7항(투자자문업)·제8항(투자일임업),국내,공통,"C-CLM-0501,C-CLM-0511","투자자문업=금융투자상품등의 가치 또는 투자판단(종류·종목·취득·처분·방법·수량·가격·시기)에 관한 자문을 영업으로 하는 것. 투자일임업=투자판단의 전부·일부를 일임받아 운용",F,H,,채택,
C-SRC-0503,A,법령 원문,국가법령정보센터,자본시장과 금융투자업에 관한 법률 제7조,"시행 2026-03-17 (법률 제21061호)",2026-07-16 04:12,https://www.law.go.kr/법령/자본시장과금융투자업에관한법률/제7조,docs/research/evidence/ws5_규제_소비자보호.md,제7조 제3항(개별성 없는 조언 적용배제)·제4항(주문 처리 과정의 일임 예외),국내,공통,"C-CLM-0502,C-CLM-0511","불특정 다수 대상 개별성 없는 조언은 투자자문업으로 보지 않음(2024-02-13 개정으로 정의 명문화). 유료 온라인 쌍방향 교환은 예외",F,H,,채택,
C-SRC-0504,A,법령 원문,국가법령정보센터,자본시장과 금융투자업에 관한 법률 시행령 제2조,현행,2026-07-16 04:20,https://www.law.go.kr/법령/자본시장과 금융투자업에 관한 법률 시행령/제2조,docs/research/evidence/ws5_규제_소비자보호.md,제2조 제6호(전자적 투자조언장치 정의·요건),국내,공통,C-CLM-0505,"전자적 투자조언장치는 투자자문·일임 수행 시 투자목적·재산상황·투자경험을 고려한 투자성향 분석, 침해사고·재해 예방 체계, 금융위 고시 요건을 갖춘 자동화된 전산정보처리장치",F,H,,채택,
C-SRC-0505,A,법령 원문,국가법령정보센터,금융소비자 보호에 관한 법률 제17조,"시행 2026-01-02 (법률 제21065호, 2025-10-01 타법개정)",2026-07-16 04:13,https://www.law.go.kr/법령/금융소비자 보호에 관한 법률/제17조,docs/research/evidence/ws5_규제_소비자보호.md,제17조 적합성원칙 제1항~제3항,국내,공통,"C-CLM-0503,C-CLM-0511","권유(자문 응대 포함) 시 소비자 구분 확인, 투자성 상품은 취득·처분 목적·재산상황·경험 파악·확인, 부적합한 계약 체결 권유 금지",F,H,적용 대상 상품 범위는 시행령 미확인,채택,
C-SRC-0506,A,법령 원문,국가법령정보센터,금융소비자 보호에 관한 법률 제18조,"시행 2026-01-02 (법률 제21065호)",2026-07-16 04:14,https://www.law.go.kr/법령/금융소비자 보호에 관한 법률/제18조,docs/research/evidence/ws5_규제_소비자보호.md,제18조 적정성원칙 제1항·제2항,국내,공통,C-CLM-0503,"권유 없이 판매 계약을 체결하는 경우에도 대통령령이 정하는 투자성 상품 등은 소비자 정보를 파악하고 부적정 시 고지·확인 의무",F,H,적용 대상 상품 범위는 시행령 미확인,채택,
C-SRC-0507,A,법령 원문,국가법령정보센터,금융소비자 보호에 관한 법률 제19조,"시행 2026-01-02 (법률 제21065호)",2026-07-16 04:16,https://www.law.go.kr/법령/금융소비자 보호에 관한 법률/제19조,docs/research/evidence/ws5_규제_소비자보호.md,제19조 설명의무 제1항 제1호 나목(투자성 상품),국내,공통,"C-CLM-0503,C-CLM-0509","권유 시·요청 시 투자성 상품의 내용, 투자에 따른 위험, 위험등급, 수수료 등 중요사항을 '일반금융소비자가 이해할 수 있도록' 설명할 의무",F,H,,채택,
C-SRC-0508,A,법령 원문,국가법령정보센터,금융소비자 보호에 관한 법률 제21조,"시행 2026-01-02 (법률 제21065호)",2026-07-16 04:15,https://www.law.go.kr/법령/금융소비자 보호에 관한 법률/제21조,docs/research/evidence/ws5_규제_소비자보호.md,제21조 부당권유행위 금지 제1호·제3호·제4호·제6호,국내,공통,"C-CLM-0504,C-CLM-0510","불확실한 사항에 대한 단정적 판단 제공·오인 소지 정보 금지, 중요사항 미고지 금지, 근거 없는 비교우위 표시 금지, 요청받지 않은 실시간 권유 금지",F,H,,채택,
C-SRC-0509,A,법령 원문,국가법령정보센터,개인정보 보호법 제37조의2,"시행 2025-10-02 (법률 제20897호, 2025-04-01 일부개정)",2026-07-16 04:17,https://www.law.go.kr/법령/개인정보 보호법/제37조의2,docs/research/evidence/ws5_규제_소비자보호.md,제37조의2 자동화된 결정에 대한 정보주체의 권리 등(본조신설 2023-03-14),공통,공통,C-CLM-0508,"AI 포함 완전 자동화 결정이 권리·의무에 중대한 영향을 미치면 거부권·설명요구권 보장, 처리자는 인적 개입 재처리·설명 조치와 기준·절차 공개 의무",F,H,,채택,
