"claim_id","claim_statement","claim_type","journey_stage","supporting_source_ids","counter_source_ids","confidence","status","notes"
"X-CLM-0001","출제 의도는 AI가 최적 매매시점을 대신 정하는 것보다 초보자가 이해·안심하고 다음 행동을 선택할 수 있는 과정 설계에 가깝다","I","all","X-SRC-0001;X-SRC-0002;X-SRC-0003","","H","채택","인터뷰 발언에 대한 해석이며 정량 고객조사 결과는 아님"
"X-CLM-0002","초보 투자자는 연령·자산 한 축이 아니라 진입기간·실전경험·객관지식·자기효능감의 다차원 조작적 정의가 적절하다","I","all","X-SRC-0201;X-SRC-0204;X-SRC-0206;X-SRC-0207;X-SRC-0209;X-SRC-0214;X-SRC-0215;X-SRC-0216","","M","채택","제품 분류용 정의이며 법정 정의가 아님; 자기효능감은 일반 재무관리의 인접근거이므로 주식 주문 맥락에서 별도 검증 필요"
"X-CLM-0003","생애 최초 현물주식 체결 후 12개월은 신규 진입 태그의 초기 운영 기준으로 사용한다","D","onboarding","X-SRC-0201;X-SRC-0215","","L","채택","6·12·24개월 민감도와 사용자 조사로 검증할 임시 임계값"
"X-CLM-0004","2020년 KCMI 계좌 표본에서 신규 투자자는 기존 투자자보다 비용 차감 후 성과가 낮고 손실 계좌 비중이 높았다","F","all","X-SRC-0201;X-SRC-0213;X-SRC-0214","","H","채택","특정 시기·증권사 표본이며 현재 카카오페이증권 고객으로 일반화 금지"
"X-CLM-0005","국내외 계좌 연구에서 이익 종목을 손실 종목보다 더 빨리 파는 처분효과가 관찰됐다","F","sell","X-SRC-0202;X-SRC-0210;X-SRC-0211;X-SRC-0212","","H","채택","행태 관찰은 원인 진단과 다름"
"X-CLM-0006","금융상품 설명서를 읽지 않거나 일부만 읽는 이용자가 많고 특히 젊은 층의 객관지식 격차가 관찰된다","F","discovery","X-SRC-0204;X-SRC-0205;X-SRC-0206","","M","채택","펀드·전 국민 조사이므로 직접 주식 초보자와 동일시 금지"
"X-CLM-0007","정제된 공개 리뷰 표본에서 정보설명·탐색·주문실행·정산·보유내역·장애 관련 마찰이 반복 관찰됐다","F","all","X-SRC-03001;X-SRC-03002;X-SRC-03003;X-SRC-03004;X-SRC-03005;X-SRC-03006;X-SRC-03007;X-SRC-03008;X-SRC-03009;X-SRC-03010;X-SRC-03011;X-SRC-03012;X-SRC-03013;X-SRC-03014;X-SRC-03015;X-SRC-03016;X-SRC-03017;X-SRC-03018;X-SRC-03019;X-SRC-03020;X-SRC-03021;X-SRC-03022;X-SRC-03023;X-SRC-03024;X-SRC-03025;X-SRC-03026;X-SRC-03027;X-SRC-03028;X-SRC-03029;X-SRC-03030;X-SRC-03031;X-SRC-03032;X-SRC-03033;X-SRC-03034;X-SRC-03035;X-SRC-03036;X-SRC-03037;X-SRC-03038;X-SRC-03039;X-SRC-03040;X-SRC-03041;X-SRC-03042;X-SRC-03043;X-SRC-03044;X-SRC-03045;X-SRC-03046;X-SRC-03047;X-SRC-03048;X-SRC-03049;X-SRC-03050;X-SRC-03051;X-SRC-03052;X-SRC-03053;X-SRC-03054;X-SRC-03055;X-SRC-03056;X-SRC-03057;X-SRC-03058;X-SRC-03059;X-SRC-03060;X-SRC-03061;X-SRC-03062;X-SRC-03064;X-SRC-03065;X-SRC-03066;X-SRC-03067;X-SRC-03068;X-SRC-03069;X-SRC-03070;X-SRC-03071;X-SRC-03072;X-SRC-03073;X-SRC-03074;X-SRC-03075;X-SRC-03076;X-SRC-03077;X-SRC-03078;X-SRC-03079;X-SRC-03080;X-SRC-03081;X-SRC-03082;X-SRC-03083;X-SRC-03084;X-SRC-03085;X-SRC-03086;X-SRC-03088;X-SRC-03089;X-SRC-03090;X-SRC-03091;X-SRC-03092;X-SRC-03093;X-SRC-03094;X-SRC-03095;X-SRC-03096;X-SRC-03097;X-SRC-03098;X-SRC-03099;X-SRC-03100;X-SRC-03101;X-SRC-03102;X-SRC-03103;X-SRC-03104;X-SRC-03105;X-SRC-03106;X-SRC-03107;X-SRC-03108;X-SRC-03109;X-SRC-03110;X-SRC-03111;X-SRC-03112;X-SRC-03113;X-SRC-03114;X-SRC-03115;X-SRC-03116;X-SRC-03117;X-SRC-03118;X-SRC-03119;X-SRC-03120","","M","채택","118건 편의표본의 질적 신호"
"X-CLM-0008","VOC 주제 건수는 전체 고객의 페인포인트 비율이나 카카오페이와 토스 간 우열로 해석할 수 없다","I","all","X-SRC-03001;X-SRC-03002;X-SRC-03003;X-SRC-03004;X-SRC-03005;X-SRC-03006;X-SRC-03007;X-SRC-03008;X-SRC-03009;X-SRC-03010;X-SRC-03011;X-SRC-03012;X-SRC-03013;X-SRC-03014;X-SRC-03015;X-SRC-03016;X-SRC-03017;X-SRC-03018;X-SRC-03019;X-SRC-03020;X-SRC-03021;X-SRC-03022;X-SRC-03023;X-SRC-03024;X-SRC-03025;X-SRC-03026;X-SRC-03027;X-SRC-03028;X-SRC-03029;X-SRC-03030;X-SRC-03031;X-SRC-03032;X-SRC-03033;X-SRC-03034;X-SRC-03035;X-SRC-03036;X-SRC-03037;X-SRC-03038;X-SRC-03039;X-SRC-03040;X-SRC-03041;X-SRC-03042;X-SRC-03043;X-SRC-03044;X-SRC-03045;X-SRC-03046;X-SRC-03047;X-SRC-03048;X-SRC-03049;X-SRC-03050;X-SRC-03051;X-SRC-03052;X-SRC-03053;X-SRC-03054;X-SRC-03055;X-SRC-03056;X-SRC-03057;X-SRC-03058;X-SRC-03059;X-SRC-03060;X-SRC-03061;X-SRC-03062;X-SRC-03064;X-SRC-03065;X-SRC-03066;X-SRC-03067;X-SRC-03068;X-SRC-03069;X-SRC-03070;X-SRC-03071;X-SRC-03072;X-SRC-03073;X-SRC-03074;X-SRC-03075;X-SRC-03076;X-SRC-03077;X-SRC-03078;X-SRC-03079;X-SRC-03080;X-SRC-03081;X-SRC-03082;X-SRC-03083;X-SRC-03084;X-SRC-03085;X-SRC-03086;X-SRC-03088;X-SRC-03089;X-SRC-03090;X-SRC-03091;X-SRC-03092;X-SRC-03093;X-SRC-03094;X-SRC-03095;X-SRC-03096;X-SRC-03097;X-SRC-03098;X-SRC-03099;X-SRC-03100;X-SRC-03101;X-SRC-03102;X-SRC-03103;X-SRC-03104;X-SRC-03105;X-SRC-03106;X-SRC-03107;X-SRC-03108;X-SRC-03109;X-SRC-03110;X-SRC-03111;X-SRC-03112;X-SRC-03113;X-SRC-03114;X-SRC-03115;X-SRC-03116;X-SRC-03117;X-SRC-03118;X-SRC-03119;X-SRC-03120","","H","채택","수집·필터·슈퍼앱 맥락과 자기선택 편향"
"X-CLM-0009","초보자의 핵심 JTBD는 계획·최신 사실·주문 결과를 한 화면에서 비교해 감당 가능한 결정을 내리는 것이다","I","all","X-SRC-0002;X-SRC-0201;X-SRC-0202;X-SRC-03001;X-SRC-03003;X-SRC-03010;X-SRC-03022;X-SRC-03048;X-SRC-03066;X-SRC-03111","","M","채택","사용자 인터뷰에서 문구·우선순위 검증 필요"
"X-CLM-0010","카카오페이증권은 투자 진입장벽을 낮추고 일상에서 쉬운 자산관리를 제공하는 방향을 공식 제시한다","F","all","X-SRC-0101;X-SRC-0102;X-SRC-0117","","H","채택","회사 의도 근거이며 효과 검증은 아님"
