claim_id,claim_statement,claim_type,journey_stage,supporting_source_ids,counter_source_ids,claude_claim_ids,codex_claim_ids,claude_confidence,codex_confidence,final_confidence,status,adjudication_note
F-CLM-0001,"카카오페이증권은 '자산 규모가 적거나 경험이 부족한 사용자'를 공식적으로 명시한 타깃으로 삼고 있으며, 개별 기능 보도자료(스탑로스 등)에서도 '금융 서비스 경험이 부족한 사용자'를 반복 언급한다",F,공통,C-SRC-0100;C-SRC-0102;C-SRC-0114;X-SRC-0101;X-SRC-0102;X-SRC-0117,,C-CLM-0100,X-CLM-0010,H,H,H,채택,X-CLM-0010 독립 수렴(회사 방향 동일 확인)
F-CLM-0002,"2026년 3월 신호철 대표 연임과 함께 'AI 네이티브 전환'과 '사용자 경험 혁신'이 2기 경영의 공식 의제로 선언되었고, 3대 과제는 AI 기반 투자 정보·커뮤니티 활성화·프로모드이다",F,공통,C-SRC-0111;C-SRC-0115;X-SRC-0103;X-SRC-0104;X-SRC-0105;X-SRC-0111;X-SRC-0112;X-SRC-0115,,C-CLM-0101,X-CLM-0011,H,H,H,채택,X-CLM-0011 수렴(동일 발표 출처 — 독립 상향 아님)
F-CLM-0003,"카카오페이증권은 2025년 4월 '어땠지(시장 요약)·왜지(급등락 이유 요약)·어쩌지(차트 분석 기반 의사결정 지원)' 3단계 투자 정보 모델을 공표했고, 내부 AI 모델로 운영 중이며 금융위 혁신금융서비스(샌드박스)를 신청했다",F,탐색·매수·매도,C-SRC-0112,,C-CLM-0102,,H,,H,채택,Claude 단독 — Codex 대장 무대응(WS8 QA 통과 확신도 유지)
F-CLM-0004,"2026년 7월 8일 AI 어닝콜 실시간 번역·요약 서비스를 정식 출시했다. PIP로 시청 중 매매가 가능하고 AI 구간 요약마다 어닝콜 시작 대비 주가 등락률을 표시하며, 미국 시총 상위 500종목에서 1,000종목으로 확대 예정이다",F,보유·매도,C-SRC-0106;C-SRC-0104,,C-CLM-0103,,H,,H,채택,Claude 단독 — Codex 대장 무대응(WS8 QA 통과 확신도 유지)
F-CLM-0005,"수수료 체계: 국내주식 온라인 0.015%(KRX)/0.014%(NXT), 해외주식 온라인 0.1%(최소 $0.01), 환전 스프레드 1%, 신용융자 연 4.5~9.5%, 주식판매금 미리받기 연 9%",F,매수·매도,C-SRC-0130;C-SRC-0133;C-SRC-0136,,C-CLM-0104,,H,,H,채택,Claude 단독 — Codex 대장 무대응(WS8 QA 통과 확신도 유지)
F-CLM-0006,"주문장애 발생 시 보상을 받으려면 증거 확보(화면 캡처)와 비상주문(고객센터·ARS) 시도가 사실상 전제되며, 비상주문을 시도하지 않으면 보상 대상에서 제외될 수 있다",F,매수·매도,C-SRC-0141,,C-CLM-0105,,H,,H,채택,Claude 단독 — Codex 대장 무대응(WS8 QA 통과 확신도 유지)
F-CLM-0007,"2026년 6~7월에 코스피 서킷브레이커 1단계 발동 안내가 3회(06.26·07.07·07.13) 게시되었고, 06.30에는 앱 접속·서비스 지연 장애가 발생해 익일 정상화되었다",F,보유·매도,C-SRC-0121;C-SRC-0122,,C-CLM-0106,,H,,H,채택,Claude 단독 — Codex 대장 무대응(WS8 QA 통과 확신도 유지)
F-CLM-0008,"FAQ와 이용안내에는 국내주식 매도대금 출금 D+2영업일, KRX·NXT 구분과 SOR 자동 배분, 배당 기준일, 상품별 출금 가능일 등 시장·상품별 설명이 존재한다.",F,공통,C-SRC-0127;C-SRC-0135,,C-CLM-0107,,H,,H,채택,Claude 단독 — Codex 대장 무대응(WS8 QA 통과 확신도 유지); Codex 재검증: D+2를 모든 시장·상품에 일반화하지 않으며 주문 영향 미리보기에는 예상 체결시장·거래시간·거래소별 비용을 포함
F-CLM-0009,"규모 지표: 예탁자산 20조 원(2026-05-29), 커뮤니티 MAU 130만(2026-02), 카톡 채널 친구 100만(2026-06, 증권사 1위), 월간 거래자 100만 명(2025-07)",F,공통,C-SRC-0109;C-SRC-0115;C-SRC-0108;C-SRC-0105,,C-CLM-0108,,H,,H,채택,"X-CLM-0042(지표 혼동 금지) 적용 — 기준일 상이 지표 혼합 금지. Codex 확인 수치: 월간 거래 고객 140만(26.3, KIND 공시), 예탁자산 10조(26.1)"
F-CLM-0010,"RIA(국내시장 복귀계좌)는 출시 45일 만에 5만 계좌로 업계 전체의 약 1/4을 차지했고, ISA는 두 달 만에 10만 계좌, 연금저축은 50만 계좌를 돌파했다",F,재진입,C-SRC-0110;C-SRC-0105;C-SRC-0124,,C-CLM-0109,,H,,H,채택,Claude 단독 — Codex 대장 무대응(WS8 QA 통과 확신도 유지)
