"source_id","source_tier","source_type","organization_or_author","title","published_at","accessed_at_kst","url","local_evidence_path","locator","market","journey_stage","claim_ids","evidence_summary","fact_or_interpretation","reliability","limitations","status","rejection_reason"
"X-SRC-0001","A","official_brief","카카오페이증권·주최 측","2026 카카오페이증권 트랙 본선 안내","2026-07-18","2026-07-16","","docs/notice/2026-07-18_본선안내_카카오페이증권트랙.md","로컬 문서","KR","all","X-CLM-0001","본선 과제 범위와 산출물 요구사항","F","A","로컬 제공 문서이며 외부 URL 없음","included",""
"X-SRC-0002","A","official_interview","카카오페이증권·조코딩","카카오페이증권 본선 문제 출제 인터뷰","undated","2026-07-16","https://www.youtube.com/watch?v=aBuoojGjyf4","","공식 페이지","KR","all","X-CLM-0001;X-CLM-0009;X-CLM-0031;X-CLM-0032;X-CLM-0033;X-CLM-0036;X-CLM-0044","초보 투자자의 손실 불안과 매수·매도 막막함, 설득 가능한 과정 설계 강조","F","A","영상 발언은 문제 출제 의도이며 사용자 전체의 정량 근거가 아님","included",""
"X-SRC-0003","B","internal_analysis","프로젝트 팀","카카오페이증권 인터뷰 영상 분석","2026-07-16","2026-07-16","","docs/research/2026-07-16_카카오페이증권_인터뷰영상분석.md","로컬 문서","KR","all","X-CLM-0001;X-CLM-0036","인터뷰 발언의 타임스탬프별 분석","F","B","2차 분석이므로 원영상과 대조 필요","included",""
"X-SRC-0101","B","official_company","카카오페이증권·카카오페이","회사 소개","undated","2026-07-16","https://www.kakaopaysec.com/company/about/dynamicPage.do","","공식 페이지","KR","all","X-CLM-0010;X-CLM-0031;X-CLM-0036","투자 진입장벽을 낮추는 회사 방향","F","B","회사 공식자료로 효과는 독립 검증 필요","included",""
"X-SRC-0102","B","official_company","카카오페이증권·카카오페이","리테일 비즈니스","undated","2026-07-16","https://www.kakaopaysec.com/business/retail/dynamicPage.do","","공식 페이지","KR","all","X-CLM-0010;X-CLM-0012;X-CLM-0036","쉬운 투자와 일상 자산관리 방향","F","B","회사 공식자료로 효과는 독립 검증 필요","included",""
"X-SRC-0103","B","official_company","카카오페이증권·카카오페이","2026년 1분기 실적발표","undated","2026-07-16","https://www.kakaopay.com/ir/ir_archive/earnings_release","","공식 페이지","KR","business","X-CLM-0011;X-CLM-0042","증권 부문 성장과 고객·거래 지표","F","B","회사 자체 발표·잠정 실적 성격","included",""
"X-SRC-0104","B","official_company","카카오페이증권·카카오페이","2026년 1분기 분기보고서","2026-05-14","2026-07-16","https://kind.krx.co.kr/external/2026/05/14/001075/20260514002342/11013.htm","","공식 페이지","KR","business","X-CLM-0011;X-CLM-0042","공시된 분기 재무·사업 정보","F","B","보고기간과 후속 보도자료 기준일이 다름","included",""
"X-SRC-0105","B","official_company","카카오페이증권·카카오페이","CEO 연임 및 중장기 전략","undated","2026-07-16","https://www.kakaopaysec.com/company/news_page/dynamicNewsDetail.do?id=110","","공식 페이지","KR","all","X-CLM-0011","AI 투자정보·커뮤니티·프로 경험 전략","F","B","회사 보도자료로 성과 효과는 독립 검증 필요","included",""
"X-SRC-0106","B","official_company","카카오페이증권·카카오페이","투자매매업 인가 관련 보도자료","undated","2026-07-16","https://www.kakaopaysec.com/company/news_page/dynamicNewsDetail.do?id=119","","공식 페이지","KR","execution","X-CLM-0012","사업 인가와 서비스 외연 확대","F","B","회사 보도자료","included",""
"X-SRC-0107","B","official_company","카카오페이증권·카카오페이","AI 실시간 해외 실적 번역","undated","2026-07-16","https://www.kakaopaysec.com/company/news_page/dynamicNewsDetail.do?id=120","","공식 페이지","KR","discovery","X-CLM-0012","AI 기반 해외주식 정보 기능","F","B","기능 존재 근거이며 정확도 효과 근거 아님","included",""
"X-SRC-0108","B","official_company","카카오페이증권·카카오페이","차트 주문 기능","undated","2026-07-16","https://www.kakaopaysec.com/company/news_page/dynamicNewsDetail.do?id=105","","공식 페이지","KR","execution","X-CLM-0012;X-CLM-0013","차트에서 주문하는 기능","F","B","기능 존재 근거","included",""
"X-SRC-0109","B","official_company","카카오페이증권·카카오페이","수익률 기준 모으기·팔기","undated","2026-07-16","https://www.kakaopaysec.com/company/news_page/dynamicNewsDetail.do?id=92","","공식 페이지","KR","execution","X-CLM-0012;X-CLM-0013","수익률 조건 기반 반복 기능","F","B","개별 이용조건과 최신 화면 확인 필요","included",""
"X-SRC-0110","B","official_company","카카오페이증권·카카오페이","주식 모으기 2주년","undated","2026-07-16","https://www.kakaopaysec.com/company/news_page/dynamicNewsDetail.do?id=98","","공식 페이지","KR","execution","X-CLM-0012","반복·소수점 투자 성장","F","B","회사 자체 성과 발표","included",""
"X-SRC-0111","B","official_company","카카오페이증권·카카오페이","금융자산 15조 원","undated","2026-07-16","https://www.kakaopaysec.com/company/news_page/dynamicNewsDetail.do?id=111","","공식 페이지","KR","business","X-CLM-0011;X-CLM-0042","특정 기준일 금융자산 성장","F","B","다른 기준일 수치와 직접 비교 주의","included",""
"X-SRC-0112","B","official_company","카카오페이증권·카카오페이","금융자산 20조 원","undated","2026-07-16","https://www.kakaopaysec.com/company/news_page/dynamicNewsDetail.do?id=116","","공식 페이지","KR","business","X-CLM-0011;X-CLM-0042","특정 기준일 금융자산 성장","F","B","다른 기준일 수치와 직접 비교 주의","included",""
"X-SRC-0113","B","official_company","카카오페이증권·카카오페이","연금·ISA 서비스","undated","2026-07-16","https://www.kakaopaysec.com/company/news_page/dynamicNewsDetail.do?id=114","","공식 페이지","KR","portfolio","X-CLM-0012","자산관리 상품 확장","F","B","회사 보도자료","included",""
"X-SRC-0114","B","official_company","카카오페이증권·카카오페이","RIA 서비스","undated","2026-07-16","https://www.kakaopaysec.com/company/news_page/dynamicNewsDetail.do?id=115","","공식 페이지","KR","portfolio","X-CLM-0012;X-CLM-0021","로보어드바이저 자산관리 확장","F","B","직접 주문 지원과 규제 모델이 다름","included",""
"X-SRC-0115","B","official_company","카카오페이증권·카카오페이","투자자 커뮤니티 MAU","undated","2026-07-16","https://www.kakaopaysec.com/company/news_page/dynamicNewsDetail.do?id=107","","공식 페이지","KR","discovery","X-CLM-0011;X-CLM-0012;X-CLM-0042","커뮤니티 성장 지표","F","B","회사 자체 발표; 플랫폼 MAU와 구분","included",""
"X-SRC-0116","B","official_company","카카오페이증권·카카오페이","카카오톡 채널","undated","2026-07-16","https://www.kakaopaysec.com/company/news_page/dynamicNewsDetail.do?id=118","","공식 페이지","KR","support","X-CLM-0012;X-CLM-0042","고객 접점 확장","F","B","친구 수와 활성 거래고객은 다른 지표","included",""
"X-SRC-0117","B","official_company","카카오페이증권·카카오페이","카카오페이증권 홈페이지","undated","2026-07-16","https://www.kakaopaysec.com/","","공식 페이지","KR","all","X-CLM-0010;X-CLM-0012;X-CLM-0043","공식 서비스·회사 정보 진입점","F","B","동적 페이지와 앱 최신 화면 차이 가능","included",""
"X-SRC-0118","B","official_company","카카오페이증권·카카오페이","고객센터 FAQ","undated","2026-07-16","https://www.kakaopaysec.com/customer/faq/dynamicPage.do","","공식 페이지","KR","support","X-CLM-0013;X-CLM-0037;X-CLM-0043","고객 질문과 안내 체계","F","B","공개 FAQ가 문의 빈도를 대표하지 않음","included",""
"X-SRC-0119","B","official_company","카카오페이증권·카카오페이","계좌 이용안내","undated","2026-07-16","https://www.kakaopaysec.com/guide/account/dynamicPage.do","","공식 페이지","KR","onboarding","X-CLM-0013;X-CLM-0043","계좌·예탁금 관련 이용 조건","F","B","문구 최신성과 실제 앱 조건 재확인 필요","included",""
"X-SRC-0120","B","official_company","카카오페이증권·카카오페이","수수료 안내","undated","2026-07-16","https://www.kakaopaysec.com/guide/feeGuide/dynamicPage.do","","공식 페이지","KR","execution","X-CLM-0013;X-CLM-0032;X-CLM-0043","수수료·비용 조건","F","B","이벤트·시장·상품별 조건 변동 가능","included",""
"X-SRC-0121","B","official_company","카카오페이증권·카카오페이","시세 이용안내","undated","2026-07-16","https://www.kakaopaysec.com/guide/quotation/dynamicPage.do","","공식 페이지","KR","execution","X-CLM-0013;X-CLM-0032;X-CLM-0043","실시간·지연 시세 조건","F","B","거래소·종목·시장 상태별 차이","included",""
"X-SRC-0122","B","official_company","카카오페이증권·카카오페이","금융소비자보호 포털","undated","2026-07-16","https://www.kakaopaysec.com/customer/portal/dynamicPage.do","","공식 페이지","KR","support","X-CLM-0013;X-CLM-0019","소비자보호 정보 체계","F","B","실제 사내 통제 운영은 공개 범위 밖","included",""
"X-SRC-0123","B","official_company","카카오페이증권·카카오페이","민원 안내","undated","2026-07-16","https://kakaopaysec.com/portal/minwonnotice-civil/dynamicPage.do","","공식 페이지","KR","support","X-CLM-0013","민원 처리 안내","F","B","민원 원자료·빈도는 비공개","included",""
"X-SRC-0124","B","official_company","카카오페이증권·카카오페이","투자 유의사항","undated","2026-07-16","https://www.kakaopaysec.com/customer/caution/dynamicPage.do","","공식 페이지","KR","execution","X-CLM-0013;X-CLM-0019","투자 위험·주의 안내","F","B","고지가 이해를 보장하지 않음","included",""
"X-SRC-0125","B","official_company","카카오페이증권·카카오페이","정보교류 차단 안내","undated","2026-07-16","https://www.kakaopaysec.com/guide/exchange/dynamicPage.do","","공식 페이지","KR","governance","X-CLM-0019","이해상충·정보교류 통제 안내","F","B","실제 운영 효과는 공개자료로 검증 불가","included",""
"X-SRC-0126","B","official_company","카카오페이증권·카카오페이","퀀트 리서치","undated","2026-07-16","https://www.kakaopaysec.com/research/quint/dynamicPage.do","","공식 페이지","KR","discovery","X-CLM-0012","공개 리서치 제공 범위","F","B","게시물 최신성·앱 노출과 차이 가능","included",""
"X-SRC-0127","B","official_company","카카오페이증권·카카오페이","산업 리서치","undated","2026-07-16","https://www.kakaopaysec.com/research/industry/dynamicPage.do","","공식 페이지","KR","discovery","X-CLM-0012","산업 리서치 제공 범위","F","B","게시물 최신성·앱 노출과 차이 가능","included",""
"X-SRC-0128","B","official_company","카카오페이증권·카카오페이","채용 공고 목록","undated","2026-07-16","https://career.kakaopaysec.com/job_posting","","공식 페이지","KR","organization","X-CLM-0015","채용 수요와 역할 범위","F","B","채용 공고는 제품 확정 로드맵이 아님","included",""
"X-SRC-0129","B","official_company","카카오페이증권·카카오페이","AI 에이전트 기획 채용","undated","2026-07-16","https://career.kakaopaysec.com/job_posting/tAw6vPWv","","공식 페이지","KR","organization","X-CLM-0015","AI 에이전트 기획·평가 역량 신호","F","B","채용 시점·공고 변경 가능","included",""
"X-SRC-0130","B","official_company","카카오페이증권·카카오페이","업무 플랫폼 에이전트 채용","undated","2026-07-16","https://career.kakaopaysec.com/job_posting/h6XYO0i5","","공식 페이지","KR","organization","X-CLM-0015","업무형 AI 에이전트·플랫폼 신호","F","B","채용 시점·공고 변경 가능","included",""
"X-SRC-0131","B","official_company","카카오페이증권·카카오페이","UX 리더 채용","undated","2026-07-16","https://career.kakaopaysec.com/job_posting/tEYpf3mm","","공식 페이지","KR","organization","X-CLM-0015","제품 전반 UX 품질 책임 신호","F","B","채용 시점·공고 변경 가능","included",""
"X-SRC-0132","B","official_company","카카오페이증권·카카오페이","Pallas v2 로그 플랫폼","undated","2026-07-16","https://tech.kakaopay.com/post/pallas-v2-log-platform/","","공식 페이지","KR","technology","X-CLM-0014;X-CLM-0030","관측성·로그 플랫폼 기술 사례","F","B","카카오페이 그룹 사례와 증권 실서비스 적용범위 구분","included",""
"X-SRC-0133","B","official_company","카카오페이증권·카카오페이","Pink Ward","undated","2026-07-16","https://tech.kakaopay.com/post/pink-ward/","","공식 페이지","KR","technology","X-CLM-0014","운영·보안 자동화 기술 사례","F","B","게시 시점의 기술 스냅샷","included",""
"X-SRC-0134","B","official_company","카카오페이증권·카카오페이","멀티클러스터","undated","2026-07-16","https://tech.kakaopay.com/post/multi-cluster/","","공식 페이지","KR","technology","X-CLM-0014","Kubernetes 멀티클러스터 운영","F","B","게시 시점의 기술 스냅샷","included",""
"X-SRC-0135","B","official_company","카카오페이증권·카카오페이","WECAN","undated","2026-07-16","https://tech.kakaopay.com/post/kakaopaysec-wecan/","","공식 페이지","KR","technology","X-CLM-0014","카카오페이증권 개발·운영 사례","F","B","내부 전체 구조를 대표하지 않음","included",""
"X-SRC-0136","B","official_company","카카오페이증권·카카오페이","춘식이 사내 AI 봇","undated","2026-07-16","https://tech.kakaopay.com/post/choonsiri/","","공식 페이지","KR","technology","X-CLM-0014;X-CLM-0015;X-CLM-0030","RAG·LLM 사내 적용 사례","F","B","고객용 금융 판단 시스템과 위험도가 다름","included",""
"X-SRC-0137","B","official_company","카카오페이증권·카카오페이","Dr. Pym 프로젝트","undated","2026-07-16","https://tech.kakaopay.com/post/ifkakao2024-dr-pym-project/","","공식 페이지","KR","technology","X-CLM-0014;X-CLM-0015","상담 지원 AI 사례","F","B","효과 수치의 조건·평가설계 확인 필요","included",""
"X-SRC-0138","B","official_company","카카오페이증권·카카오페이","Cilium Egress Gateway","undated","2026-07-16","https://tech.kakaopay.com/post/cilium-egress-gateway/","","공식 페이지","KR","technology","X-CLM-0014","네트워크 통제 기술 사례","F","B","게시 시점의 기술 스냅샷","included",""
