claim_id,claim_statement,claim_type,journey_stage,supporting_source_ids,counter_source_ids,confidence,status,notes
C-CLM-0601,본선일 2026-07-18은 토요일로 KRX 주식시장이 휴장하며(미국 시장도 주말 폐장) 당일 실시간 시세는 존재하지 않는다,F,전체,"C-SRC-0614,C-SRC-0615",,H,채택,달력상 토요일 + 휴장일 규정. 데모는 전일 스냅샷 전제 필수
C-CLM-0602,공공데이터포털 금융위 주식시세정보 API는 자동승인·무료·이용허락 제한 없음이며 개발계정 일 10,000회 한도를 갖고 기준일 영업일 D+1 13시 이후 갱신된다,F,데이터기반,C-SRC-0610,,H,채택,라이선스는 6개 원천 중 가장 깨끗하나 갱신 지연이 한계
C-CLM-0603,DART OpenAPI는 누구나 무료 인증키(40자)로 이용 가능하고 요청 제한(오류 020) 및 회사 100건/회 제한이 있다,F,데이터기반,"C-SRC-0603,C-SRC-0604",,H,채택,일일 한도 정확 수치는 부분확인 — 원문 재대조 필요
C-CLM-0604,KIS Open API는 한국투자증권 계좌 개설과 서비스 신청이 선행되어야 하며 계좌 보유 시 온라인 신청으로 App Key/Secret을 당일 확인할 수 있고 모의투자는 모의계좌 별도 신청+별도 앱키가 필요하다,F,데이터기반,"C-SRC-0607,C-SRC-0608",,M,채택,공식 포털 본문 미확인(SPA) — 신청 절차는 공식 GitHub+이용자 문서 교차 확인
C-CLM-0605,KIS Open API 호출 한도는 실전 REST 초당 약 20건 수준이며 모의투자는 그보다 낮다(초당 2~5건, 문서 상이로 미확정),F,데이터기반,"C-SRC-0607,C-SRC-0609",,M,쟁점,모의 한도 수치 문서 간 불일치 — 단일 조회 데모에는 영향 없음
C-CLM-0606,KIS Open API는 모의투자(vps)·실전(prod) 환경을 모두 제공하고 WebSocket 실시간 시세를 지원하며 토큰 재발급은 1분당 1회로 제한된다,F,데이터기반,C-SRC-0607,,H,채택,공식 GitHub README 근거
C-CLM-0607,pykrx는 KRX·네이버 스크래핑 기반 무인증 라이브러리로 일별 OHLCV·시총·펀더멘털을 제공하나 일부 API는 KRX 로그인이 필요하고 과도 호출 시 차단 위험이 있으며 데이터 저작권은 KRX·네이버에 귀속된다,F,데이터기반,C-SRC-0612,,H,채택,사전 캐싱 용도로 적합·현장 실시간 수집은 회피
C-CLM-0608,yfinance는 야후 비공식 도구이며 야후 파이낸스 API는 개인용(personal use only)으로 명시되어 재배포·상업 이용에 제약이 있다,F,데이터기반,C-SRC-0613,,H,채택,데모 화면 표시·비영리 시연 한정 및 출처 표기로 보수 운용
C-CLM-0609,KRX 정보데이터시스템은 웹 조회·CSV 다운로드 중심으로 공개 REST API를 제공하지 않으며 데이터 저작권이 KRX에 귀속되어 재배포에는 별도 조건이 적용될 수 있다,I,데이터기반,"C-SRC-0601,C-SRC-0602",,M,채택,법적고지 원문 미열람(미확인) — 화면 표시+출처 표기로 보수 운용
C-CLM-0610,공공데이터포털 주식시세 API의 D+1 13시 갱신 특성상 토요일(7/18)에는 7/17(금) 종가가 조회되지 않으므로 금요일 종가는 pykrx 또는 KRX CSV로 확보해야 한다,I,데이터기반,C-SRC-0610,,H,채택,갱신 규칙(F)에서 도출한 실행상 결론(I)
C-CLM-0611,ECOS는 환율·금리 등 보조 지표 원천으로 인증키 기반 무료 이용이 가능하나 호출 한도 등 세부 수치는 공식 페이지(SPA)에서 확인하지 못했다(미확인),F,데이터기반,C-SRC-0611,,M,채택,핵심 경로 아님 — 보조 지표 1~2개 용도
C-CLM-0612,본선 데모의 기본 데이터 구성은 1안 pykrx 7/17 종가 스냅샷+DART 캐시+로컬 모의 체결, 2안 yfinance+ECOS(미국 시나리오 시), 공통 폴백은 시나리오 3종 JSON fixture 오프라인 데모로 하며 KIS 모의투자는 7/17까지 발급·테스트 완료 시에만 선택 사용한다,D,데이터기반,"C-SRC-0601,C-SRC-0604,C-SRC-0607,C-SRC-0610,C-SRC-0612,C-SRC-0613",,H,채택,계획서 5장 폴백 요건(전일 스냅샷+모의 체결 필수 평가) 충족을 위한 제품 결정
