claim_id,claim_statement,claim_type(F/I/H/D),journey_stage,supporting_source_ids,counter_source_ids,confidence(H/M/L),status(채택/기각/쟁점),notes
C-CLM-0100,"카카오페이증권은 '자산 규모가 적거나 경험이 부족한 사용자'를 공식적으로 명시한 타깃으로 삼고 있으며, 개별 기능 보도자료(스탑로스 등)에서도 '금융 서비스 경험이 부족한 사용자'를 반복 언급한다",F,공통,"C-SRC-0100,C-SRC-0102,C-SRC-0114",,H,채택,초보 투자자 지원 데모가 회사 전략과 정합함을 뒷받침하는 핵심 근거
C-CLM-0101,"2026년 3월 신호철 대표 연임과 함께 'AI 네이티브 전환'과 '사용자 경험 혁신'이 2기 경영의 공식 의제로 선언되었고, 3대 과제는 AI 기반 투자 정보·커뮤니티 활성화·프로모드이다",F,공통,"C-SRC-0111,C-SRC-0115",,H,채택,AI 기반 초보자 지원 데모의 전략 정합성 근거
C-CLM-0102,"카카오페이증권은 2025년 4월 '어땠지(시장 요약)·왜지(급등락 이유 요약)·어쩌지(차트 분석 기반 의사결정 지원)' 3단계 투자 정보 모델을 공표했고, 내부 AI 모델로 운영 중이며 금융위 혁신금융서비스(샌드박스)를 신청했다",F,탐색·매수·매도,C-SRC-0112,,H,채택,샌드박스 지정 결과는 미확인(WS5에서 확인 필요). '어쩌지'가 매수·매도 의사결정 순간 지원에 해당
C-CLM-0103,"2026년 7월 8일 AI 어닝콜 실시간 번역·요약 서비스를 정식 출시했다. PIP로 시청 중 매매가 가능하고 AI 구간 요약마다 어닝콜 시작 대비 주가 등락률을 표시하며, 미국 시총 상위 500종목에서 1,000종목으로 확대 예정이다",F,보유·매도,"C-SRC-0106,C-SRC-0104",,H,채택,생성형 AI를 고객 대상 투자 정보에 적용한 최신 공개 사례
C-CLM-0104,"수수료 체계: 국내주식 온라인 0.015%(KRX)/0.014%(NXT), 해외주식 온라인 0.1%(최소 $0.01), 환전 스프레드 1%, 신용융자 연 4.5~9.5%, 주식판매금 미리받기 연 9%",F,매수·매도,"C-SRC-0130,C-SRC-0133,C-SRC-0136",,H,채택,초보자에게 비용 설명 기능을 만들 때의 기준 수치(2026-07-16 열람 기준)
C-CLM-0105,"주문장애 발생 시 보상을 받으려면 증거 확보(화면 캡처)와 비상주문(고객센터·ARS) 시도가 사실상 전제되며, 비상주문을 시도하지 않으면 보상 대상에서 제외될 수 있다",F,매수·매도,C-SRC-0141,,H,채택,급락·장애 동시 발생 시 초보자가 수행하기 어려운 절차라는 해석(C-CLM-0117)의 근거
C-CLM-0106,"2026년 6~7월에 코스피 서킷브레이커 1단계 발동 안내가 3회(06.26·07.07·07.13) 게시되었고, 06.30에는 앱 접속·서비스 지연 장애가 발생해 익일 정상화되었다",F,보유·매도,"C-SRC-0121,C-SRC-0122",,H,채택,본선 직전 시장이 고변동성 국면이라는 시의성 근거. 고불안 매매 순간 시나리오의 현실성 뒷받침
C-CLM-0107,"FAQ와 이용안내에는 초보자가 혼동하기 쉬운 제도 설명이 다수 존재한다: 매도 후 출금 D+2영업일, KRX vs ATS(NXT) 구분과 SOR 자동 배분, 배당 기준일 2영업일 전 보유, 펀드별 상이한 출금 가능일",F,공통,"C-SRC-0127,C-SRC-0135",,H,채택,용어·제도 설명 기능(쉬운 한국어)의 소재 목록
C-CLM-0108,"규모 지표: 예탁자산 20조 원(2026-05-29), 커뮤니티 MAU 130만(2026-02), 카톡 채널 친구 100만(2026-06, 증권사 1위), 월간 거래자 100만 명(2025-07)",F,공통,"C-SRC-0109,C-SRC-0115,C-SRC-0108,C-SRC-0105",,H,채택,사용자 기반 규모 근거(보도자료 기준)
C-CLM-0109,"RIA(국내시장 복귀계좌)는 출시 45일 만에 5만 계좌로 업계 전체의 약 1/4을 차지했고, ISA는 두 달 만에 10만 계좌, 연금저축은 50만 계좌를 돌파했다",F,재진입,"C-SRC-0110,C-SRC-0105,C-SRC-0124",,H,채택,'매도 후 재진입형' 세그먼트가 실재하는 대규모 수요임을 시사
C-CLM-0110,"채용 사이트에는 AI Native Engineering팀의 AI Agent 기획자·AI 엔지니어를 포함해 AI Agent 직군 공고가 4건 이상 게시되어 있다(전체 52건 중)",F,공통,C-SRC-0143,,H,채택,AI 에이전트 전담 조직이 실제로 구축 중이라는 근거. 해커톤 주제와의 접점
C-CLM-0111,"초보자 대상 기능 자산이 매수·보유·매도 전 여정에 이미 존재한다: 주식 모으기(2년간 160만 명)·소수점 거래·차트주문·트레이딩뷰·스탑로스·시세감지주문·수익률 모으기·팔기·종목별 토론방·주식 선물하기",F,공통,"C-SRC-0105,C-SRC-0100,C-SRC-0114",,H,채택,데모 기획 시 기존 기능과의 중복을 피하고 '의사결정 보조' 공백을 노려야 함
